name,fastpass_booth,created_at,updated_at,short_name,open_emh_morning,open_emh_evening,single_rider,time_zone,seasonal,open_very_merry,open_not_so_scary,category_code,duration,scheduled_code,what_it_is,scope_and_scale_code,when_to_go,average_wait_per_hundred,average_wait_assumes,loading_speed,probable_wait_time,special_needs,height_restriction,intense,extinct_on,opened_on,frightening,physical_considerations,handheld_captioning,video_captioning,reflective_captioning,assistive_listening,audio_description,wheelchair_transfer_code,no_service_animals,sign_language,service_animal_check,not_to_be_missed,rider_swap,ultimate_code,ultimate_task,park_entrance,relative_open,relative_close,close_at_dusk,crowd_calendar_version,match_name,crazy_threshold,fastpass_only,allow_showtimes_after_close,disconnected_fastpass_booth,arrive_before,arrive_before_fp,allow_time_restriction,relative_open_to_sunset,relative_close_to_sunset,closing_round_code,walking_time_proxy_id,flexible_duration,operator_id,operator_type,hide_app,showtime_proxy_id,sort_name,extinct_on_uncertain,opened_on_uncertain,opened_on_known,ignore_scrapes,extra_cost,climate_controlled,wet,operational_notes,masthead_circle_x,masthead_circle_y,latitude,longitude,open_early,themeparks_id,has_virtual_queue,relative_open_base,virtual_queue_only,fastpass_average_minutes_saved,fastpass_average_gone_at
Astro Orbiter,False,2009-07-13T19:14:03.000-04:00,2021-11-15T12:59:25.000-05:00,Astro Orbiter,True,True,False,Eastern Time (US & Canada),False,True,True,ride,1.5,0,Buck Rogers-style rockets revolving around a central axis,minor_attraction,Before 11 a.m. or during the last hour before closing.,13.5,0,Slow,0,0,0,False,0,1995-02-25,False,True,False,False,False,False,False,must_transfer_from_wheelchair,False,False,False,False,False,core,Ride.,False,0,0,0,4,ASTR-ORBTR,150,False,False,False,0,0,False,0,0,0,0,False,80010107,Attraction,False,0,astro orbiter,0,0,0,False,False,False,False,0,536,31,28.41849262,-81.57898879,False,d9d12438-d999-4482-894b-8955fdb20ccf,False,0,False,0,0
The Barnstormer,False,2009-07-13T19:14:05.000-04:00,2023-01-15T22:03:41.000-05:00,Barnstormer,True,True,False,Eastern Time (US & Canada),False,True,True,ride,2.0,0,Small roller coaster,minor_attraction,"Before 10:30 a.m., during parades, or in the evening just before the park closes.",7.0,0,Slow,0,0,35,True,0,1996-10-01,False,True,False,False,False,False,False,must_transfer_to_wheelchair_then_ride_vehicle,True,False,False,False,True,core,Ride.,False,0,0,0,4,BRNSTRMR,150,False,False,False,0,0,False,0,0,0,0,False,16491297,Attraction,False,0,barnstormer,0,0,0,False,False,False,False,0,630,157,28.42076616,-81.57839075,False,924a3b2c-6b4b-49e5-99d3-e9dc3f2e8a48,False,0,False,3,2000-01-01T21:00:00.000Z
Bibbidi Bobbidi Boutique,False,2019-11-27T06:45:19.000-05:00,2020-08-18T12:14:30.000-04:00,Bibbidi Bobbidi Boutique,False,False,False,Eastern Time (US & Canada),False,False,False,scheduled_exp,45.0,0,Princess Makeover Experience,minor_attraction,0,0.0,0,0,0,0,0,False,0,0,False,False,False,False,False,False,False,0,False,False,False,False,False,0,0,False,0,0,0,2,BBT-BBT-BTK,150,False,False,False,0,0,False,0,0,0,716,False,210507,MerchandiseFacility,True,0,bibbidi bobbidi boutique,0,0,0,False,True,True,False,0,0,0,28.419479,-81.581235,False,0,False,0,False,0,0
Big Thunder Mountain Railroad,False,2009-07-13T16:14:03.000-07:00,2023-03-21T10:41:21.000-07:00,Big Thunder Mtn,False,True,False,Eastern Time (US & Canada),False,True,True,ride,7.0,0,"Tame, western-mining-themed roller coaster",headliner,"Before 10 a.m., in the hour before closing.",2.5,5 trains operating,Moderate-fast,0,0,40,True,0,1980-09-23,False,True,False,False,False,False,False,must_transfer_from_wheelchair,True,False,False,True,True,core,Ride.,False,0,0,0,4,BK-0NTR-MNTN-RLRT,150,False,False,False,0,0,True,0,0,0,0,False,80010110,Attraction,False,0,big thunder mountain railroad,0,0,0,False,False,False,False,0,1466,194,28.41996385,-81.58464229,False,de3309ca-97d5-4211-bffe-739fed47e92f,False,0,False,19,2000-01-01T18:00:00.000Z
Buzz Lightyear's Space Ranger Spin,False,2009-07-13T16:14:03.000-07:00,2023-03-21T09:15:14.000-07:00,Buzz Lightyear,True,True,False,Eastern Time (US & Canada),False,True,True,ride,4.5,0,Whimsical space travel-themed indoor ride,minor_attraction,First or last hour the park is open.,3.0,0,Fast,0,0,0,False,0,1998-10-07,False,False,True,False,False,False,True,must_transfer_to_wheelchair,False,False,False,False,False,core,Ride.,False,0,0,0,4,BS-LTYRS-SPS-RNJR-SPN,150,False,False,False,0,0,False,0,0,0,0,False,80010114,Attraction,False,0,buzz lightyears space ranger spin,0,0,0,False,False,True,False,0,479,80,28.41828688,-81.57940865,False,72c7343a-f7fb-4f66-95df-c91016de7338,False,0,False,23,2000-01-01T21:00:00.000Z
Casey Jr. Splash 'N' Soak Station,False,2012-01-30T21:29:31.000-05:00,2021-07-24T22:57:32.000-04:00,Casey Jr Splash,False,False,False,Eastern Time (US & Canada),False,False,True,play_area,15.0,0,Opportunity to get wet,diversion,When it's hot,0.0,0,0,0,0,0,False,0,2012-06-15,False,False,False,False,False,False,False,0,False,False,False,False,False,core,Photo with Casey Jr.,False,0,0,0,2,KS-JR-SPLX-N-SK-STXN,150,False,False,False,0,0,False,0,0,0,0,False,16512939,Attraction,False,0,casey jr splash n soak station,0,0,0,False,False,False,True,0,0,0,28.420958,-81.578701,False,f010bc01-b450-4476-a5f3-a5f2813104b2,False,0,False,0,0
Casey's Corner Pianist,False,2010-07-07T18:48:23.000-04:00,2021-11-04T00:05:06.000-04:00,Casey's Corner Pianist,False,False,False,Eastern Time (US & Canada),False,False,False,scheduled_show,20.0,0,Ragtime Piano Player,diversion,0,0.0,0,0,0,0,0,False,0,0,False,False,False,False,False,False,False,0,False,False,False,False,False,bonus,View for 5 minutes.,False,0,0,0,4,KSS-KRNR-PNST,150,False,False,False,1,1,False,0,0,0,0,0,8074,Entertainment,False,0,caseys corner pianist,0,0,0,False,False,False,False,0,790,344,28.418025,-81.581366,False,a0613b70-293f-4a5b-8169-357be1777c62,False,0,False,0,0
Country Bear Jamboree,False,2009-07-13T19:14:03.000-04:00,2021-11-15T12:10:24.000-05:00,Country Bears,False,True,False,Eastern Time (US & Canada),False,False,False,continuous_show,10.0,0,Audioanimatronic country-hoedown theater show,major_attraction,"Before 11:30 a.m., before a parade, or during the two hours before closing",0.0,0,0,This attraction is not terribly popular but has a comparatively small capacity. Waiting time between noon and 5:30 p.m. on a busy day will average 15-30 minutes.,0,0,False,0,1971-10-01,False,False,False,False,True,True,False,may_remain_in_wheelchair,False,False,False,False,False,core,View full show. Photos only allowed at end of show.,False,0,0,0,2,KNTR-BR-JMBR,150,False,False,False,0,0,False,0,0,0,0,False,80069748,Attraction,False,0,country bear jamboree,0,0,0,False,False,True,False,0,860,130,28.41878613,-81.58372229,False,0f57cecf-5502-4503-8bc3-ba84d3708ace,False,0,False,0,0
Dapper Dans,False,2010-07-07T18:47:38.000-04:00,2021-11-04T00:05:04.000-04:00,Dapper Dans,False,False,False,Eastern Time (US & Canada),False,False,False,scheduled_show,20.0,0,Barbershop Quartet,diversion,0,0.0,0,0,0,0,0,False,0,1971-10-01,False,False,False,False,False,False,False,0,False,False,False,False,False,bonus,View for 5 minutes. Watching them on a Main Street Vehicle does NOT count.,False,0,0,0,4,TPR-TNS,150,False,False,False,2,2,False,0,0,0,0,False,8075,Entertainment,False,0,dapper dans,0,0,0,False,False,False,False,0,0,0,28.4174102,-81.581217,False,1eee22e8-1d0a-4809-a42b-df3ae55c69d5,False,0,False,0,0
Disney Enchantment,False,2021-06-24T13:01:01.000-04:00,2023-01-10T09:28:45.000-05:00,Disney Enchantment,False,False,False,Eastern Time (US & Canada),False,False,False,scheduled_show,15.0,fireworks,Fireworks and Projection Show,headliner,See show schedule,0.0,0,0,0,0,0,False,2023-04-03,2021-10-01,False,False,False,False,False,False,False,0,False,False,False,False,False,core,View Full Show,False,0,0,0,2,TSN-ENXNTMNT,150,False,False,False,20,20,False,0,0,0,387,False,19630230,Entertainment,False,387,disney enchantment,0,0,0,False,False,False,False,0,0,0,28.419147,-81.581205,False,bb74811e-b80e-4d24-bca1-d880f0af4732,False,0,False,0,0
